1,38.82,20.5,2.6504635817455835
2,42.03,22.26,2.730728765062878
3,43.12,22.57,2.820864852331397
4,43.61,26.45,2.81444835972934
5,44.87,28.05,2.888498870529645
6,46.28,30.58,2.9545742971120603
7,46.92,30.69,2.9994478437671432
8,47.02,28.76,3.420442911474879
9,48.44,27.74,3.5447214954115225
10,49.0,29.31,3.49013245486276
11,48.03,28.74,3.7333416021293147
12,50.58,30.44,3.951328846277619
13,51.11,29.8,4.063075546216851
14,50.45,31.93,3.429608438902278
15,51.26,28.98,4.25470726551373
16,51.27,28.7,4.372929923109837
17,51.63,27.5,4.482553987988922
18,51.75,28.78,4.564524363341604
19,51.14,28.71,4.660732431361794
20,51.89,29.55,4.33178634209753
21,52.3,30.73,4.513192850391761
22,52.19,27.38,4.94040374208879
23,52.65,28.47,5.029479475793551
24,51.91,27.14,5.145861714488547
25,52.33,28.61,5.108753003360221
26,53.33,28.75,5.331579938634263
